CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,total_denials,cash_per_vol_denial,date
Mesa Airlines,1.0,6.0,0.0,3.0,0.0,10.0,10.0,1722.0,3378023.0,0.0,2018,Q2 2018,7.0,3.0,0.0513,0.000296,0.050977,1732.0,0.0,2018-04-01
PSA Airlines,1.0,19.0,0.0,12.0,0.0,32.0,32.0,2554.0,3485505.0,0.0,2018,Q2 2018,20.0,12.0,0.0742,0.000918,0.073275,2586.0,0.0,2018-04-01
Republic Airline,0.0,18.0,0.0,12.0,0.0,30.0,28.0,3876.0,4890213.0,0.0,2018,Q2 2018,18.0,12.0,0.0799,0.000613,0.07926,3906.0,0.0,2018-04-01
SkyWest Airlines,0.0,112.0,0.0,92.0,2.0,206.0,114.0,7413.0,9125575.0,0.0,2018,Q2 2018,112.0,94.0,0.0835,0.002257,0.081233,7619.0,0.0,2018-04-01
Southwest Airlines,109.0,267.0,0.0,0.0,0.0,376.0,376.0,6039.0,42329176.0,0.0,2018,Q2 2018,376.0,0.0,0.0152,0.000888,0.014267,6415.0,0.0,2018-04-01
Spirit Airlines,0.0,413.0,0.0,35.0,0.0,448.0,217.0,4852.0,7061549.0,0.0,2018,Q2 2018,413.0,35.0,0.0751,0.006344,0.06871,5300.0,0.0,2018-04-01
United Air Lines,0.0,8.0,2.0,3.0,4.0,17.0,12.0,8615.0,25966562.0,0.0,2018,Q2 2018,8.0,9.0,0.0332,6.5e-05,0.033177,8632.0,0.0,2018-04-01
Alaska Airlines,0.0,121.0,0.0,65.0,6.0,192.0,121.0,2494.0,9274760.0,0.0,2018,Q3 2018,121.0,71.0,0.029,0.00207,0.02689,2686.0,0.0,2018-07-01
Allegiant Airlines,0.0,0.0,0.0,10.0,68.0,78.0,0.0,141.0,3529711.0,0.0,2018,Q3 2018,0.0,78.0,0.0062,0.00221,0.003995,219.0,0.0,2018-07-01
American Airlines,10.0,132.0,0.0,173.0,48.0,363.0,315.0,12697.0,34232162.0,0.0,2018,Q3 2018,142.0,221.0,0.0382,0.00106,0.037091,13060.0,0.0,2018-07-01
Delta Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.0,37139292.0,0.0,2018,Q3 2018,0.0,0.0,0.0477,0.0,0.047718,17722.0,0.0,2018-07-01
Endeavor Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5131.0,3518387.0,0.0,2018,Q3 2018,0.0,0.0,0.1458,0.0,0.145834,5131.0,0.0,2018-07-01
Envoy Air,2.0,39.0,0.0,120.0,0.0,161.0,161.0,3437.0,3388554.0,0.0,2018,Q3 2018,41.0,120.0,0.1062,0.004751,0.10143,3598.0,0.0,2018-07-01
ExpressJet Airlines,0.0,1.0,0.0,2.0,0.0,3.0,3.0,1866.0,2175952.0,0.0,2018,Q3 2018,1.0,2.0,0.0859,0.000138,0.085756,1869.0,0.0,2018-07-01
Frontier Airlines,0.0,169.0,0.0,328.0,22.0,519.0,122.0,1790.0,5128189.0,1986.0,2018,Q3 2018,169.0,350.0,0.045,0.010121,0.034905,2309.0,1.11,2018-07-01
Hawaiian Airlines,0.0,3.0,0.0,,0.0,3.0,3.0,274.0,2802150.0,0.0,2018,Q3 2018,3.0,,0.0099,0.000107,0.009778,277.0,0.0,2018-07-01
JetBlue Airways,0.0,7.0,0.0,0.0,0.0,7.0,7.0,612.0,9824474.0,369730.0,2018,Q3 2018,7.0,0.0,0.0063,7.1e-05,0.006229,619.0,604.13,2018-07-01
Mesa Airlines,0.0,5.0,0.0,46.0,0.0,51.0,51.0,2581.0,3604845.0,0.0,2018,Q3 2018,5.0,46.0,0.073,0.001415,0.071598,2632.0,0.0,2018-07-01
PSA Airlines,0.0,24.0,0.0,18.0,0.0,42.0,42.0,2006.0,3404018.0,0.0,2018,Q3 2018,24.0,18.0,0.0602,0.001234,0.05893,2048.0,0.0,2018-07-01
Republic Airline,0.0,29.0,0.0,2.0,0.0,31.0,31.0,4954.0,4619387.0,0.0,2018,Q3 2018,29.0,2.0,0.1079,0.000671,0.107244,4985.0,0.0,2018-07-01
SkyWest Airlines,0.0,70.0,0.0,22.0,3.0,95.0,92.0,7264.0,9676146.0,0.0,2018,Q3 2018,70.0,25.0,0.0761,0.000982,0.075071,7359.0,0.0,2018-07-01
Southwest Airlines,273.0,694.0,0.0,0.0,0.0,967.0,967.0,6570.0,40839016.0,0.0,2018,Q3 2018,967.0,0.0,0.0185,0.002368,0.016088,7537.0,0.0,2018-07-01
Spirit Airlines,3.0,160.0,1.0,0.0,0.0,164.0,163.0,5718.0,7328762.0,0.0,2018,Q3 2018,163.0,1.0,0.0803,0.002238,0.078021,5882.0,0.0,2018-07-01
