tbl,year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2002,4,34321,"Portland, ME",14321,PWM,53,1618700,0,203.37,0.1575,17,504000,0,179.32,0.5822,36,1114700,0,214.25,0.0508,2002414321PWM
Table 7,2018,3,32896,"Lubbock, TX",12896,LBB,40,1411400,0.8042,236.41,0.0406,9,874500,0.7352,209.75,0.0754,31,536900,0.9166,279.82,0.0011,2018312896LBB
Table 7,2020,3,30599,"Birmingham, AL",10599,BHM,49,1594500,0.6512,173.92,-0.0058,21,883500,0.5272,155.63,-0.0373,28,711000,0.8053,196.65,0.0274,2020310599BHM
Table 7,1999,1,31714,"Fort Myers, FL",14635,RSW,96,12510800,0.2376,159.27,-0.1904,9,796800,0.7011,144.45,-0.12,87,11714000,0.2061,160.27,-0.1944,1999114635RSW
Table 7,2005,4,30559,"Seattle, WA",14747,SEA,145,40259000,0.676,174.56,-0.0499,31,10672900,0.7218,126.25,-0.1591,114,29586100,0.6595,191.99,-0.0197,2005414747SEA
Table 7,2008,1,34027,"West Palm Beach/Palm Beach, FL",14027,PBI,81,17312900,0.8851,174.6,-0.0293,11,1257600,0.9651,171.85,0.0643,70,16055300,0.8788,174.81,-0.0359,2008114027PBI
Table 7,2006,4,30285,"Durango, CO",11413,DRO,13,181100,0,208.85,0.4266,7,138900,0,196.96,0.6881,6,42200,0,248,0.0155,2006411413DRO
Table 7,2006,3,33195,"Tampa, FL (Metropolitan Area)",14112,PIE,7,719700,0,115.65,-0.28,,,,,,7,719700,0,115.65,-0.28,2006314112PIE
Table 7,2005,1,30198,"Pittsburgh, PA",14122,PIT,97,12269500,0.4587,184.02,0.1849,53,5778300,0.1483,196.3,0.4501,44,6491200,0.735,173.09,0.0003,2005114122PIT
Table 7,2003,4,30529,"Hartford, CT",10529,BDL,92,13424700,0.6236,175.12,0.0175,32,3277200,0.541,169.38,0.2098,60,10147500,0.6503,176.97,-0.0301,2003410529BDL
Table 7,2012,2,30721,"Boston, MA (Metropolitan Area)",13296,MHT,149,5775500,0.809,219.51,-0.0125,40,1748100,0.6543,189.97,0.0701,109,4027400,0.8761,232.33,-0.0388,2012213296MHT
Table 7,2017,3,30154,"Nantucket, MA",10154,ACK,17,653100,0.9983,235.74,0.3714,8,586700,0.9995,209.44,0.3373,9,66400,0.988,468.17,0.5256,2017310154ACK
Table 7,2001,1,32884,"Lansing, MI",12884,LAN,35,612800,0,208.69,-0.0358,16,236300,0,216.28,-0.0206,19,376500,0,203.92,-0.0456,2001112884LAN
Table 7,2012,4,31703,"New York City, NY (Metropolitan Area)",12478,JFK,173,38177200,0.8834,248.65,0.0715,56,6797400,0.8031,137.91,0.0321,117,31379800,0.9007,272.64,0.0761,2012412478JFK
Table 7,1996,2,33184,"Saginaw/Bay City/Midland, MI",13184,MBS,36,697900,0,205.62,0.1066,19,357200,0,195.95,0.0967,17,340700,0,215.77,0.1163,1996213184MBS
Table 7,2014,2,31703,"New York City, NY (Metropolitan Area)",12478,JFK,180,40091400,0.8966,281.13,0.1325,57,6746000,0.8215,172.37,0.0609,123,33345400,0.9118,303.13,0.1413,2014212478JFK
Table 7,2011,3,30257,"Albany, NY",10257,ALB,66,5082400,0.8056,243.16,0.1087,24,1804200,0.6434,212.4,0.1593,42,3278200,0.8949,260.09,0.0873,2011310257ALB
Table 7,2016,4,32945,"Lexington, KY",12945,LEX,52,2067800,0.2596,232.37,0.0063,24,1180200,0.2388,214.09,0.0263,28,887600,0.2873,256.69,-0.015,2016412945LEX
Table 7,2015,3,31537,"Elmira/Corning, NY",11537,ELM,17,299500,0,198.47,-0.2257,2,35600,0,239.47,0.3754,15,263900,0,192.94,-0.2785,2015311537ELM
Table 7,2017,2,30434,"Scranton/Wilkes-Barre, PA",10434,AVP,30,734200,0.1817,231.74,-0.1279,6,180300,0,262.35,0.1846,24,553900,0.2408,221.78,-0.2084,2017210434AVP
Table 7,2014,1,34711,"Philipsburg/State College, PA",14711,SCE,15,161800,0,284.14,0.1442,6,74200,0,273.73,0.2567,9,87600,0,292.96,0.0685,2014114711SCE
Table 7,2021,1,34576,"Rochester, NY",14576,ROC,33,911600,0.8532,181.05,0.0393,12,290100,0.7839,173.77,0.2775,21,621500,0.8856,184.45,-0.0394,2021114576ROC
Table 7,2011,3,34321,"Portland, ME",14321,PWM,68,4086200,0.7041,216.44,0.0361,21,1713200,0.5231,184.08,0.1292,47,2373000,0.8347,239.81,-0.0092,2011314321PWM
Table 7,2014,1,35412,"Knoxville, TN",15412,TYS,58,2214000,0,256,0.0364,31,1291200,0,238.63,0.0312,27,922800,0,280.29,0.0426,2014115412TYS
Table 7,2006,3,34689,"Santa Barbara, CA",14689,SBA,35,1267000,0,222.43,0.1808,11,483000,0,164.69,0.3367,24,784000,0,258,0.1291,2006314689SBA
Table 7,2011,4,34489,"Bend/Redmond, OR",14489,RDM,24,578300,0,187.27,-0.2262,6,290200,0,127.82,-0.4187,18,288100,0,247.16,-0.0649,2011414489RDM
Table 7,2005,4,31146,"Charleston/Dunbar, WV",11146,CRW,39,757000,0,205.25,-0.0497,21,447900,0,193.21,-0.0477,18,309100,0,222.7,-0.0522,2005411146CRW
Table 7,2017,2,31721,"Flint, MI",11721,FNT,41,1217200,0.8874,204.71,-0.1857,14,427300,0.8067,189.38,-0.2186,27,789900,0.931,213,-0.1689,2017211721FNT
Table 7,1996,3,32124,"Hilton Head, SC",12124,HHH,10,102100,0,193.77,0.2324,10,102100,0,193.77,0.2324,,,,,,1996312124HHH
Table 7,2021,3,34457,"Rapid City, SD",14457,RAP,51,1430000,0.1993,243.48,0.1324,3,159800,0,206.21,0.4336,48,1270200,0.2244,248.17,0.108,2021314457RAP
Table 7,1999,1,31977,"Green Bay, WI",11977,GRB,34,825800,0,203.93,0.0743,8,189100,0,244.2,1.0773,26,636700,0,191.97,-0.0914,1999111977GRB
Table 7,2017,2,30140,"Albuquerque, NM",10140,ABQ,84,8864800,0.9366,234.64,0.0179,19,3704900,0.9408,191.81,-0.0427,65,5159900,0.9336,265.39,0.0525,2017210140ABQ
Table 7,1996,2,34922,"Salinas/Monterey, CA",13476,MRY,24,347700,0,236.87,0.0188,7,139500,0,101.94,-0.3675,17,208200,0,327.27,0.1676,1996213476MRY
Table 7,2003,2,32575,"Los Angeles, CA (Metropolitan Area)",10800,BUR,143,9760800,0.8914,118.34,-0.123,22,6992400,0.9604,93.65,-0.1884,121,2768400,0.7172,180.7,-0.0197,2003210800BUR
Table 7,2013,1,31973,"Gulfport/Biloxi, MS",11973,GPT,36,631400,0,264.21,0.0606,7,194200,0,248.06,0.1485,29,437200,0,271.38,0.0286,2013111973GPT
Table 7,2013,4,32070,"Harrisburg, PA",13230,MDT,48,2033200,0.2841,242.22,0.0085,14,616500,0,273.38,0.3646,34,1416700,0.4077,228.65,-0.112,2013413230MDT
Table 7,2019,1,30194,,11259,DAL,145,20585600,0.9934,184.96,-0.0789,38,8907100,0.9987,186.36,0.0065,107,11678500,0.9894,183.89,-0.1356,2019111259DAL
Table 7,2004,2,32337,"Indianapolis, IN",12339,IND,101,16120500,0.5596,156.81,-0.1009,55,6002300,0.361,177.81,0.054,46,10118200,0.6774,144.35,-0.1882,2004212339IND
Table 7,2012,1,35412,"Knoxville, TN",15412,TYS,56,2458900,0.1676,227.97,-0.0327,30,1502100,0.139,209.35,-0.0708,26,956800,0.2125,257.21,0.0209,2012115412TYS
Table 7,2015,1,31703,"New York City, NY (Metropolitan Area)",12391,ISP,108,2408800,0.9848,189.61,-0.0529,39,315900,0.9468,190.7,0.0132,69,2092900,0.9905,189.45,-0.0622,2015112391ISP
Table 7,2011,3,34570,"Reno, NV",14570,RNO,71,7498300,0.9035,200.54,-0.0388,17,4271800,0.9858,151.02,-0.1057,54,3226500,0.7946,266.09,0.0184,2011314570RNO
Table 7,2006,4,30721,"Boston, MA (Metropolitan Area)",13296,MHT,151,8425100,0.7961,164.03,-0.0395,43,2976400,0.7924,129.32,0.0238,108,5448700,0.7982,182.99,-0.0619,2006413296MHT
Table 7,2017,4,32547,"Rochester, MN",14633,RST,20,318800,0,243.35,0.1059,3,79200,0,254.46,1.6998,17,239600,0,239.68,-0.0839,2017414633RST
Table 7,2009,1,34252,"Pasco/Kennewick/Richland, WA",14252,PSC,17,493500,0,199.23,0.0217,6,314000,0,145.77,-0.149,11,179500,0,292.74,0.2378,2009114252PSC
Table 7,2007,3,30577,"Binghamton, NY",10577,BGM,7,167400,0,162.21,-0.2578,2,46000,0,143.2,-0.2892,5,121400,0,169.42,-0.2472,2007310577BGM
Table 7,2005,4,31977,"Green Bay, WI",11977,GRB,43,1188700,0,200.42,0.0361,14,396400,0,187.42,0.0957,29,792300,0,206.92,0.0112,2005411977GRB
Table 7,2010,1,32575,"Los Angeles, CA (Metropolitan Area)",10800,BUR,161,9710900,0.9102,148.33,-0.0445,25,6576200,0.9746,123.45,-0.0283,136,3134700,0.7752,200.53,-0.0647,2010110800BUR
Table 7,2008,3,33486,"Missoula, MT",13486,MSO,34,871700,0,249.83,0.0382,5,357500,0,184.47,-0.0953,29,514200,0,295.28,0.1093,2008313486MSO
Table 7,2004,2,33244,"Memphis, TN",13244,MEM,85,7463700,0.5813,210.8,0.2608,43,3896400,0.5288,200.96,0.2213,42,3567300,0.6385,221.54,0.3025,2004213244MEM
Table 7,1997,3,33541,"Martha's Vineyard, MA",13541,MVY,9,155100,0,168.18,0.0931,9,155100,0,168.18,0.0931,,,,,,1997313541MVY
Table 7,2002,4,31308,"Dothan, AL",11308,DHN,9,48200,0,227.88,0.3529,3,28200,0,213.85,0.2194,6,20000,0,247.66,0.5609,2002411308DHN
Table 7,2003,2,31617,"New Bern/Morehead/Beaufort, NC",11617,EWN,8,55000,0,164.01,-0.324,8,55000,0,164.01,-0.324,,,,,,2003211617EWN
Table 7,1997,3,33495,"New Orleans, LA",13495,MSY,105,15194600,0.5734,138.29,-0.1704,41,7964200,0.6558,102.46,-0.2824,64,7230400,0.4827,177.76,-0.0792,1997313495MSY
Table 7,2016,4,31146,"Charleston/Dunbar, WV",11146,CRW,32,430300,0,296.67,0.1548,17,235500,0,259.89,0.1641,15,194800,0,341.13,0.1464,2016411146CRW
Table 7,2017,4,31454,"Orlando, FL",13204,MCO,147,66655000,0.9646,183.17,-0.097,33,8436300,0.8493,177.93,-0.0578,114,58218700,0.9813,183.93,-0.1022,2017413204MCO
Table 7,2004,1,30198,"Pittsburgh, PA",14122,PIT,94,11440500,0.3515,199.89,0.2276,53,5323500,0.1653,225.47,0.6294,41,6117000,0.5136,177.63,-0.0352,2004114122PIT
Table 7,2004,2,32600,"Little Rock, AR",12992,LIT,67,4167500,0.7412,168.21,-0.0522,27,2192600,0.7138,142.95,-0.1071,40,1974900,0.7716,196.26,-0.0026,2004212992LIT
Table 7,2006,3,30397,"Atlanta, GA (Metropolitan Area)",10397,ATL,166,57957800,0.7901,196.21,0.2132,101,34473600,0.7918,176.8,0.2001,65,23484200,0.7875,224.7,0.2288,2006310397ATL
Table 7,2018,2,33316,"Omaha, NE",13871,OMA,85,9684300,0.8625,222.95,0.0304,19,2773900,0.6955,208.52,0.0464,66,6910400,0.9296,228.74,0.0246,2018213871OMA
Table 7,2006,2,34653,"Tulsa, OK",15370,TUL,75,6337000,0.76,177.56,-0.0963,26,3155800,0.6558,150,-0.1352,49,3181200,0.8633,204.9,-0.0658,2006215370TUL
Table 7,2004,1,33851,"Oklahoma City, OK",13851,OKC,75,5016700,0.7805,166.17,-0.0947,26,2221800,0.8597,136,-0.1935,49,2794900,0.7175,190.16,-0.027,2004113851OKC
Table 7,2019,4,31703,"New York City, NY (Metropolitan Area)",12197,HPN,163,3939300,0.4938,252.93,0.285,44,624100,0,269.48,0.3544,119,3315200,0.5868,249.81,0.2717,2019412197HPN
Table 7,2005,4,31982,"Killeen, TX",11982,GRK,19,252200,0,222.36,0.0979,1,19500,0,115.72,-0.2335,18,232700,0,231.3,0.1181,2005411982GRK
Table 7,2007,3,31921,"Grand Junction, CO",11921,GJT,15,288800,0.2791,234.28,0.0115,8,189000,0,189.54,-0.1619,7,99800,0.8076,319,0.3183,2007311921GJT
Table 7,2013,4,30185,"Alexandria, LA",10185,AEX,16,138700,0,237.12,0.0035,3,50400,0,214.02,0.1124,13,88300,0,250.3,-0.0422,2013410185AEX
Table 7,2010,1,33495,"New Orleans, LA",13495,MSY,98,15201500,0.8085,186.94,0.0076,36,6735100,0.7778,164.95,-0.0271,62,8466400,0.833,204.44,0.0312,2010113495MSY
Table 7,2021,1,30423,"Austin, TX",10423,AUS,95,8614200,0.946,175.06,0.0114,19,898000,0.8964,164.77,-0.0629,76,7716200,0.9518,176.25,0.0202,2021110423AUS
Table 7,2017,2,30721,"Boston, MA (Metropolitan Area)",10721,BOS,145,64617400,0.9334,223.44,-0.0022,40,19800200,0.9664,174.7,0.0477,105,44817200,0.9188,244.98,-0.0169,2017210721BOS
Table 7,2018,4,31703,"New York City, NY (Metropolitan Area)",12391,ISP,113,2870600,0.9743,183.87,-0.0775,43,473900,0.8842,194.75,0.0766,70,2396700,0.9921,181.71,-0.1047,2018412391ISP
Table 7,2003,2,30852,"Washington, DC (Metropolitan Area)",10821,BWI,180,38930500,0.8772,140.92,-0.151,82,18408100,0.8518,113.14,-0.1506,98,20522400,0.9,165.85,-0.1513,2003210821BWI
Table 7,2015,4,30721,"Boston, MA (Metropolitan Area)",13296,MHT,143,4568400,0.8092,218.97,0.0437,39,1521200,0.6554,192.8,0.0809,104,3047200,0.886,232.04,0.0289,2015413296MHT
Table 7,2010,1,33214,"San Antonio, TX",14683,SAT,109,13960900,0.8607,182.86,-0.0521,24,3465900,0.8114,152.2,-0.1513,85,10495000,0.877,192.99,-0.0223,2010114683SAT
Table 7,2007,2,31577,"Erie, PA",11577,ERI,18,213700,0,194.71,-0.1061,14,120700,0,211.29,0.0283,4,93000,0,173.2,-0.2593,2007211577ERI
Table 7,2009,2,31977,"Green Bay, WI",11977,GRB,40,932800,0,186.82,-0.025,9,236000,0,181.14,0.1544,31,696800,0,188.74,-0.0718,2009211977GRB
Table 7,2007,4,33367,"Quad Cities, IL (Metropolitan Area)",13367,MLI,38,1367100,0.8579,168.73,-0.1967,8,407100,0.9995,150.57,-0.2575,30,960000,0.7979,176.42,-0.1722,2007413367MLI
Table 7,2015,2,34108,"Peoria, IL",14108,PIA,39,986200,0,202.56,-0.1691,8,201700,0,285.74,0.3545,31,784500,0,181.17,-0.2817,2015214108PIA
Table 7,1997,4,31140,"Corpus Christi, TX",11140,CRP,50,1578500,0.6886,129.99,-0.2617,14,1000000,0.7535,97.5,-0.3745,36,578500,0.5763,186.15,-0.1177,1997411140CRP
Table 7,1996,2,32467,"Miami, FL (Metropolitan Area)",13303,MIA,135,18789600,0,158.05,-0.1092,33,3487500,0,115.48,-0.1436,102,15302100,0,167.75,-0.1036,1996213303MIA
Table 7,2014,3,31650,"Minneapolis/St. Paul, MN",13487,MSP,147,36252300,0.9161,252.43,0.1536,49,10809400,0.8739,226.89,0.1844,98,25442900,0.934,263.28,0.1427,2014313487MSP
Table 7,1998,4,30194,"Dallas/Fort Worth, TX",11259,DAL,89,12223400,0.9961,90.7,-0.1778,39,11749000,0.9974,85.46,-0.1996,50,474400,0.9633,220.52,0.1141,1998411259DAL
Table 7,2004,2,35323,"Bristol/Johnson City/Kingsport, TN",15323,TRI,28,411800,0,238.18,0.1464,21,329400,0,228.81,0.1144,7,82400,0,275.61,0.2673,2004215323TRI
Table 7,2005,1,30977,"Chicago, IL",13930,ORD,156,54788100,0.1197,164.38,0.1079,74,18271900,0,146.99,0.1108,82,36516200,0.1796,173.08,0.1067,2005113930ORD
Table 7,2016,1,34492,"Raleigh/Durham, NC",14492,RDU,100,16358400,0.7312,216.87,0.0166,59,10796600,0.6584,188.42,0.0047,41,5561800,0.8724,272.09,0.0331,2016114492RDU
Table 7,2009,1,30189,"Colorado Springs, CO",11109,COS,56,2521900,0.5012,188.99,0.0097,10,836600,0.5464,153.2,-0.1066,46,1685300,0.4788,206.76,0.0606,2009111109COS
Table 7,2005,3,30431,"Asheville, NC",10431,AVL,35,757200,0,205.88,0.0803,18,491600,0,191.5,0.0537,17,265600,0,232.51,0.1237,2005310431AVL
Table 7,2014,2,34262,"Palm Springs, CA",14262,PSP,47,2894400,0.2944,233.27,-0.0471,7,731100,0.6567,167.31,-0.0973,40,2163300,0.1719,255.57,-0.0352,2014214262PSP
Table 7,2018,3,30977,"Chicago, IL",13930,ORD,179,80196700,0.4318,211.12,0.1267,86,24198800,0.0577,216.14,0.2505,93,55997900,0.5935,208.94,0.0789,2018313930ORD
Table 7,2019,3,31995,"Greensboro/High Point, NC",11995,GSO,68,3431700,0.0624,238.89,0.0448,42,2361100,0.0907,209.03,0.039,26,1070600,0,304.74,0.0538,2019311995GSO
Table 7,2004,3,33495,"New Orleans, LA",13495,MSY,101,16389400,0.8266,144.51,-0.1065,38,6986500,0.812,124.27,-0.1533,63,9402900,0.8373,159.56,-0.077,2004313495MSY
Table 7,2020,1,32575,"Los Angeles, CA (Metropolitan Area)",12954,LGB,135,5417100,0.9867,131.61,-0.2756,21,4066300,0.9968,115.41,-0.2827,114,1350800,0.9562,180.41,-0.2615,2020112954LGB
Table 7,2020,3,31481,"Panama City, FL",11481,ECP,39,1470700,0.7829,154.79,-0.044,13,911200,0.7102,144.44,-0.0555,26,559500,0.9013,171.64,-0.0278,2020311481ECP
Table 7,2017,3,34262,"Palm Springs, CA",14262,PSP,29,1262200,0.3424,215.63,-0.1213,6,423800,0.7685,165.27,-0.1772,23,838400,0.127,241.09,-0.1002,2017314262PSP
Table 7,2007,3,33360,"Melbourne, FL",13360,MLB,14,163700,0,245,0.1356,1,58400,0,225.61,0.1301,13,105300,0,255.75,0.1382,2007313360MLB
Table 7,2015,2,34986,"Sarasota/Bradenton, FL",14986,SRQ,45,1950900,0.3569,226.28,0.0356,4,324500,0,198.37,-0.0864,41,1626400,0.4281,231.85,0.0597,2015214986SRQ
Table 7,2014,4,34262,"Palm Springs, CA",14262,PSP,44,2879400,0.3438,239,-0.0153,7,670600,0.7633,165.98,-0.0835,37,2208800,0.2164,261.18,-0.0009,2014414262PSP
Table 7,2015,3,34689,"Santa Barbara, CA",14689,SBA,24,908100,0,289.27,0.2233,6,241200,0,254.28,0.5629,18,666900,0,301.92,0.1474,2015314689SBA
Table 7,2015,1,31695,"Flagstaff, AZ",11695,FLG,8,48700,0,193,-0.2017,8,48700,0,193,-0.2017,,,,,,2015111695FLG
Table 7,1997,2,31703,"New York City, NY (Metropolitan Area)",15070,SWF,158,1920700,0.137,199.37,0.0451,54,428000,0,189.99,0.2245,104,1492700,0.1763,202.06,0.0053,1997215070SWF
Table 7,1997,3,31721,"Flint, MI",11721,FNT,29,633800,0,129.13,-0.2922,17,366300,0,114.15,-0.3181,12,267500,0,149.65,-0.2631,1997311721FNT
Table 7,1999,1,31003,"Cedar Rapids/Iowa City, IA",11003,CID,41,1253500,0,237.68,0.129,7,384900,0,244.24,0.1432,34,868600,0,234.77,0.1226,1999111003CID
Table 7,2012,2,33785,"Yuma, AZ",16218,YUM,8,50600,0,324.8,0.1618,5,25700,0,139.63,-0.4325,3,24900,0,515.92,0.642,2012216218YUM
Table 7,2017,3,32896,"Lubbock, TX",12896,LBB,35,1247000,0.83,233.95,0.0814,9,764800,0.7576,210.45,0.1384,26,482200,0.9448,271.21,0.0187,2017312896LBB
Table 7,2006,4,32896,"Lubbock, TX",12896,LBB,38,2165000,0.8019,131.02,-0.135,14,1728900,0.8223,110.76,-0.1816,24,436100,0.7214,211.35,-0.0191,2006412896LBB
Table 7,2003,4,31648,"Kalispell, MT",11648,FCA,12,193700,0,179.65,0.0477,1,42200,0,159.69,0.143,11,151500,0,185.21,0.0271,2003411648FCA
Table 7,1997,1,31703,"New York City, NY (Metropolitan Area)",12391,ISP,138,2033100,0,149.13,-0.1102,54,208500,0,210.53,0.299,84,1824600,0,142.12,-0.1553,1997112391ISP
Table 7,2019,3,31003,"Cedar Rapids/Iowa City, IA",11003,CID,50,2159300,0.4538,223.92,-0.0694,9,732500,0.4643,216.36,-0.042,41,1426800,0.4485,227.81,-0.0821,2019311003CID
Table 7,2009,1,31603,"Eugene, OR",11603,EUG,24,616900,0,192.51,-0.0782,5,253000,0,169.72,-0.2064,19,363900,0,208.36,0.0146,2009111603EUG
Table 7,1999,4,31986,"Grand Rapids, MI",11986,GRR,60,2900900,0,207.06,0.1793,33,1471700,0,207.02,0.3287,27,1429200,0,207.11,0.057,1999411986GRR
Table 7,2016,3,30285,"Durango, CO",11413,DRO,23,436900,0,290.62,0.1436,8,232900,0,270.67,0.1205,15,204000,0,313.4,0.1672,2016311413DRO
Table 7,2005,1,31603,"Eugene, OR",11603,EUG,22,595800,0,176.37,-0.1066,5,163100,0,150.89,-0.2515,17,432700,0,185.98,-0.0503,2005111603EUG
Table 7,2012,4,34100,"Philadelphia, PA",14100,PHL,128,34962800,0.6671,219.67,0.0134,57,12529000,0.3301,217.03,0.2318,71,22433800,0.8554,221.14,-0.0764,2012414100PHL
Table 7,2000,1,31703,"New York City, NY (Metropolitan Area)",12478,JFK,158,14785300,0.0137,312.04,0.1691,52,1355500,0,142.98,0.2931,106,13429800,0.015,329.11,0.1642,2000112478JFK
Table 7,2005,4,32467,"Miami, FL (Metropolitan Area)",11697,FLL,140,37759400,0.8958,143.6,-0.1413,27,4330000,0.8097,135.31,-0.0479,113,33429400,0.907,144.67,-0.1514,2005411697FLL
Table 7,1998,2,33728,"Pensacola, FL",14193,PNS,54,1790200,0,183.8,-0.0255,20,765300,0,172.35,-0.0347,34,1024900,0,192.34,-0.0192,1998214193PNS
Table 7,2002,3,31703,"New York City, NY (Metropolitan Area)",11618,EWR,173,37428700,0.0782,204.23,0.25,58,7301900,0,208.56,0.9358,115,30126800,0.0972,203.18,0.1488,2002311618EWR
Table 7,1998,2,31986,"Grand Rapids, MI",11986,GRR,57,2723700,0,218.33,0.2121,29,1332700,0,228.28,0.4257,28,1391000,0,208.8,0.0477,1998211986GRR
Table 7,2000,3,30581,"Bangor, ME",10581,BGR,25,459900,0,200.09,-0.0683,10,227200,0,199.83,0.1005,15,232700,0,200.34,-0.1894,2000310581BGR
Table 7,2011,1,33158,"Midland/Odessa, TX",13158,MAF,29,1279300,0.7758,185.51,0.0029,11,1017500,0.7693,167.68,-0.0478,18,261800,0.801,254.8,0.161,2011113158MAF
Table 7,2016,1,30189,"Colorado Springs, CO",11109,COS,48,1447400,0.0772,238.82,-0.0459,9,464700,0.2404,188.49,-0.1781,39,982700,0,262.62,0.0092,2016111109COS
Table 7,2016,3,33667,"Norfolk, VA (Metropolitan Area)",13931,ORF,90,6406700,0.706,255.34,0.0552,44,3247300,0.6188,223.15,0.0072,46,3159400,0.7956,288.43,0.0967,2016313931ORF
Table 7,2011,1,30431,"Asheville, NC",10431,AVL,34,602400,0.1906,207.6,-0.0686,16,376400,0.3015,181.19,-0.1147,18,226000,0.0058,251.6,-0.0065,2011110431AVL
Table 7,2018,3,31823,"Fort Wayne, IN",11823,FWA,40,937200,0.2984,231.96,-0.0285,19,410700,0.0626,248.83,0.1168,21,526500,0.4824,218.8,-0.1291,2018311823FWA
Table 7,2009,4,32457,"San Francisco, CA (Metropolitan Area)",13796,OAK,148,20239700,0.9649,141.93,-0.122,22,14181300,0.9937,115.06,-0.1429,126,6058400,0.8975,204.82,-0.0929,2009413796OAK
Table 7,2010,1,33728,"Pensacola, FL",14193,PNS,57,1968800,0.7227,205.37,0.0071,16,645500,0.7614,196.31,-0.0739,41,1323300,0.7038,209.78,0.0489,2010114193PNS
Table 7,1997,4,32397,"Ithaca/Cortland, NY",12397,ITH,11,172400,0,193.59,0.1167,7,131700,0,173.87,0.1923,4,40700,0,257.42,-0.0191,1997412397ITH
Table 7,2019,4,33244,"Memphis, TN",13244,MEM,84,8989900,0.5585,232.18,0.044,37,4416500,0.455,218.71,0.0148,47,4573400,0.6584,245.19,0.0706,2019413244MEM
Table 7,2013,1,30785,"Burlington, VT",10785,BTV,46,1817500,0.5927,231.54,0.0547,14,685400,0.4043,186.89,0.2293,32,1132100,0.7067,258.58,-0.0071,2013110785BTV
Table 7,2015,2,33360,"Melbourne, FL",13360,MLB,22,424000,0,213.52,-0.1768,2,113500,0,210.01,-0.1708,20,310500,0,214.81,-0.1789,2015213360MLB
Table 7,1997,2,31884,"Spokane, WA",11884,GEG,53,3915800,0.7825,130.4,-0.2143,10,2206900,0.9126,78.82,-0.4201,43,1708900,0.6145,197.02,-0.038,1997211884GEG
Table 7,2017,3,30559,"Seattle, WA",14747,SEA,158,65223000,0.7416,209.67,-0.0519,28,14742100,0.6158,158.59,-0.1083,130,50480900,0.7783,224.58,-0.0394,2017314747SEA
Table 7,2003,2,31123,"St. Louis, MO",15016,STL,110,19510600,0.5691,173.13,0.0885,59,9580200,0.4791,154.86,0.0384,51,9930400,0.6559,190.75,0.1312,2003215016STL
Table 7,2013,1,30647,"Cleveland, OH (Metropolitan Area)",10874,CAK,87,3433100,0.8749,182.92,-0.0931,43,1411800,0.8012,168.94,-0.0825,44,2021300,0.9263,192.68,-0.0994,2013110874CAK
Table 7,1999,2,30721,"Boston, MA (Metropolitan Area)",10721,BOS,152,43373100,0.0802,217.98,0.1671,43,17055200,0.0021,166.18,0.4268,109,26317900,0.1308,251.54,0.0827,1999210721BOS
Table 7,2003,3,30208,"Augusta, GA",10208,AGS,20,248500,0,217.94,0.0872,13,177000,0,217.54,0.0185,7,71500,0,218.93,0.3032,2003310208AGS
Table 7,2005,3,34492,"Raleigh/Durham, NC",14492,RDU,101,18172200,0.6827,149.07,-0.0808,57,11989700,0.6337,129.36,-0.0997,44,6182500,0.7778,187.3,-0.0542,2005314492RDU
Table 7,2013,2,33029,"Lincoln, NE",13029,LNK,17,223400,0,253.03,0.139,4,139900,0,226.25,0.1436,13,83500,0,297.9,0.1333,2013213029LNK
Table 7,2018,3,32600,"Little Rock, AR",12992,LIT,61,3393600,0.8042,248.86,0.0468,23,1441800,0.6315,239.84,0.0742,38,1951800,0.9318,255.53,0.0286,2018312992LIT
Table 7,2002,3,30721,"Boston, MA (Metropolitan Area)",10721,BOS,166,36499600,0.1264,186.93,0.1191,51,12311700,0.0946,163.61,0.4294,115,24187900,0.1426,198.8,0.0258,2002310721BOS
Table 7,2011,1,31703,"New York City, NY (Metropolitan Area)",12391,ISP,119,3265500,0.9712,174.78,-0.0406,43,433700,0.8872,149,0.1966,76,2831800,0.984,178.73,-0.0643,2011112391ISP
Table 7,2019,2,31986,"Grand Rapids, MI",11986,GRR,74,6064400,0.7121,225.51,-0.0157,34,2244200,0.4176,239.68,0.1218,40,3820200,0.8851,217.18,-0.0881,2019211986GRR
Table 7,2002,3,31150,"Columbus, GA",11150,CSG,9,58500,0,169.26,0.1207,3,33300,0,171,0.1341,6,25200,0,166.97,0.103,2002311150CSG
Table 7,2017,4,35249,"Tallahassee, FL",15249,TLH,37,943200,0.0186,307.48,0.2278,10,405700,0,278.53,0.138,27,537500,0.0326,329.33,0.2928,2017415249TLH
Table 7,2001,2,32945,"Lexington, KY",12945,LEX,50,1402500,0,207.1,0.1045,26,869000,0,204.71,0.1738,24,533500,0,210.98,0.0101,2001212945LEX
Table 7,2006,1,35380,"Traverse City, MI",15380,TVC,17,249700,0,214.93,-0.0474,10,102400,0,188.37,-0.1638,7,147300,0,233.39,0.0334,2006115380TVC
