tbl,year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,1997,1,34492,"Raleigh/Durham, NC",14492,RDU,86,9064800,0,202.57,0.2043,51,6499500,0,176.29,0.208,35,2565300,0,269.15,0.1983,1997114492RDU
Table 7,2011,4,31695,"Flagstaff, AZ",11695,FLG,8,63700,0,178.05,-0.2327,8,63700,0,178.05,-0.2327,,,,,,2011411695FLG
Table 7,2001,3,31638,"Fresno, CA",11638,FAT,34,874600,0,187.18,-0.0712,10,470100,0,143.26,-0.174,24,404500,0,238.22,0.0172,2001311638FAT
Table 7,2002,2,33367,"Quad Cities, IL (Metropolitan Area)",13367,MLI,43,1195000,0.5874,159.22,-0.1433,10,411300,0.7017,147.42,-0.2079,33,783700,0.5275,165.41,-0.1093,2002213367MLI
Table 7,1996,4,30977,"Chicago, IL",13232,MDW,153,15807700,0.7695,97.2,-0.3295,74,8854200,0.7735,81.36,-0.3147,79,6953500,0.7643,117.38,-0.342,1996413232MDW
Table 7,2015,3,31423,"Des Moines, IA",11423,DSM,64,4071000,0.7645,237.39,0.0048,15,1088000,0.5934,240.99,0.1563,49,2983000,0.8269,236.08,-0.0419,2015311423DSM
Table 7,2012,2,31453,"Houston, TX",12266,IAH,155,25860300,0,281.78,0.2962,38,5186800,0,220.21,0.2682,117,20673500,0,297.23,0.3015,2012212266IAH
Table 7,2017,4,31146,"Charleston/Dunbar, WV",11146,CRW,24,339600,0,300.23,0.2645,14,217600,0,249.24,0.1954,10,122000,0,391.18,0.3534,2017411146CRW
Table 7,2011,2,30279,"Amarillo, TX",10279,AMA,31,1322400,0.8081,188.43,-0.0058,9,971400,0.8171,161.52,-0.0257,22,351000,0.7832,262.9,0.0299,2011210279AMA
Table 7,2014,1,31003,"Cedar Rapids/Iowa City, IA",11003,CID,43,1726100,0.2448,216.31,-0.0937,6,321500,0.3742,250.09,0.0662,37,1404600,0.2152,208.57,-0.1295,2014111003CID
Table 7,2011,4,32467,"Miami, FL (Metropolitan Area)",13303,MIA,137,21156500,0.026,210.9,-0.0088,31,3634500,0,162.18,-0.1105,106,17522000,0.0314,221,0.0088,2011413303MIA
Table 7,2002,3,35380,"Traverse City, MI",15380,TVC,36,721800,0,187.86,-0.0255,17,386800,0,177.51,-0.0748,19,335000,0,199.8,0.0308,2002315380TVC
Table 7,2003,3,34922,"Salinas/Monterey, CA",13476,MRY,19,311000,0,237.86,0.178,8,159400,0,161.27,-0.0059,11,151600,0,318.39,0.3068,2003313476MRY
Table 7,2010,3,33198,"Kansas City, MO",13198,MCI,114,20247300,0.8332,177.11,-0.0769,41,8627100,0.8015,155.91,-0.1004,73,11620200,0.8567,192.85,-0.0621,2010313198MCI
Table 7,2015,3,35897,"West Yellowstone, MT",15897,WYS,8,40600,0,303.2,0.4768,,,,,,8,40600,0,303.2,0.4768,2015315897WYS
Table 7,2012,3,32575,"Los Angeles, CA (Metropolitan Area)",12954,LGB,151,7029000,0.8946,139.83,-0.2625,19,3630900,0.9312,100.22,-0.3375,132,3398100,0.8555,182.14,-0.2099,2012312954LGB
Table 7,2008,3,30994,"Charleston, SC",10994,CHS,72,4360100,0.7525,209.91,-0.022,38,2561900,0.7735,192.87,-0.0701,34,1798200,0.7226,234.2,0.0414,2008310994CHS
Table 7,2009,2,31537,"Elmira/Corning, NY",11537,ELM,9,173200,0,137.69,-0.3256,4,61200,0,156.94,-0.2192,5,112000,0,127.17,-0.3823,2009211537ELM
Table 7,2018,2,33495,"New Orleans, LA",13495,MSY,110,25236300,0.956,213.53,-0.0057,42,9097100,0.9076,187.28,-0.0729,68,16139200,0.9833,228.32,0.0287,2018213495MSY
Table 7,2009,1,31617,"New Bern/Morehead/Beaufort, NC",11617,EWN,7,43100,0,165.64,-0.3048,7,43100,0,165.64,-0.3048,,,,,,2009111617EWN
Table 7,1999,1,31703,"New York City, NY (Metropolitan Area)",15070,SWF,145,1036000,0,225.73,0.095,52,210100,0,210.69,0.2494,93,825900,0,229.55,0.0643,1999115070SWF
