Airport_name,Airport_code
"Greensboro/High Point, NC: Piedmont Triad International (GSO)",GSO
"Greenville, MS: Greenville Mid Delta (GLH)",GLH
"Greenville, NC: Pitt Greenville (PGV)",PGV
"Greer, SC: Greenville-Spartanburg International (GSP)",GSP
"Guam, TT: Guam International (GUM)",GUM
"Gulfport/Biloxi, MS: Gulfport-Biloxi International (GPT)",GPT
"Gunnison, CO: Gunnison-Crested Butte Regional (GUC)",GUC
"Gustavus, AK: Gustavus Airport (GST)",GST
"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field (HGR)",HGR
"Hancock/Houghton, MI: Houghton County Memorial (CMX)",CMX
"Harlingen/San Benito, TX: Valley International (HRL)",HRL
"Harrisburg, PA: Harrisburg International (MDT)",MDT
"Hartford, CT: Bradley International (BDL)",BDL
"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional (PIB)",PIB
"Hayden, CO: Yampa Valley (HDN)",HDN
"Hays, KS: Hays Regional (HYS)",HYS
"Helena, MT: Helena Regional (HLN)",HLN
"Hibbing, MN: Range Regional (HIB)",HIB
"Hickory, NC: Hickory Regional (HKY)",HKY
"Hilo, HI: Hilo International (ITO)",ITO
"Hilton Head, SC: Hilton Head Airport (HHH)",HHH
"Hobbs, NM: Lea County Regional (HOB)",HOB
"Honolulu, HI: Daniel K Inouye International (HNL)",HNL
"Hoolehua, HI: Molokai (MKK)",MKK
"Houston, TX: Ellington (EFD)",EFD
"Houston, TX: George Bush Intercontinental/Houston (IAH)",IAH
"Houston, TX: William P Hobby (HOU)",HOU
"Huntsville, AL: Huntsville International-Carl T Jones Field (HSV)",HSV
"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field (HYA)",HYA
"Hyannis, MA: Cape Cod Gateway (HYA)",HYA
"Idaho Falls, ID: Idaho Falls Regional (IDA)",IDA
"Indianapolis, IN: Indianapolis International (IND)",IND
"International Falls, MN: Falls International Einarson Field (INL)",INL
"Inyokern, CA: Inyokern Airport (IYK)",IYK
"Iron Mountain/Kingsfd, MI: Ford (IMT)",IMT
"Islip, NY: Long Island MacArthur (ISP)",ISP
"Ithaca/Cortland, NY: Ithaca Tompkins International (ITH)",ITH
"Ithaca/Cortland, NY: Ithaca Tompkins Regional (ITH)",ITH
"Jackson, WY: Jackson Hole (JAC)",JAC
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International (JAN)",JAN
"Jacksonville, FL: Jacksonville International (JAX)",JAX
"Jacksonville/Camp Lejeune, NC: Albert J Ellis (OAJ)",OAJ
"Jamestown, ND: Jamestown Regional (JMS)",JMS
"Johnstown, PA: John Murtha Johnstown-Cambria County (JST)",JST
"Joplin, MO: Joplin Regional (JLN)",JLN
"Juneau, AK: Juneau International (JNU)",JNU
"Kahului, HI: Kahului Airport (OGG)",OGG
"Kalamazoo, MI: Kalamazoo/Battle Creek International (AZO)",AZO
"Kalispell, MT: Glacier Park International (FCA)",FCA
"Kansas City, MO: Charles B. Wheeler Downtown (MKC)",MKC
"Kansas City, MO: Kansas City International (MCI)",MCI
"Kearney, NE: Kearney Regional (EAR)",EAR
"Ketchikan, AK: Ketchikan International (KTN)",KTN
"Key West, FL: Key West International (EYW)",EYW
"Killeen, TX: Robert Gray AAF (GRK)",GRK
"Killeen, TX: Skylark Field (ILE)",ILE
"King Salmon, AK: King Salmon Airport (AKN)",AKN
"Kinston, NC: Kinston Regional Jetport at Stallings Field (ISO)",ISO
"Klamath Falls, OR: Crater Lake Klamath Regional (LMT)",LMT
"Knoxville, TN: McGhee Tyson (TYS)",TYS
"Kodiak, AK: Kodiak Airport (ADQ)",ADQ
"Kona, HI: Ellison Onizuka Kona International at Keahole (KOA)",KOA
"Koror, Palau: Babelthuap (ROR)",ROR
"Kotzebue, AK: Ralph Wien Memorial (OTZ)",OTZ
"La Crosse, WI: La Crosse Regional (LSE)",LSE
"Lafayette, LA: Lafayette Regional Paul Fournet Field (LFT)",LFT
"Lake Charles, LA: Lake Charles Regional (LCH)",LCH
"Lake Tahoe, CA: Lake Tahoe Airport (TVL)",TVL
"Lanai, HI: Lanai Airport (LNY)",LNY
"Lansing, MI: Capital Region International (LAN)",LAN
"Laramie, WY: Laramie Regional (LAR)",LAR
"Laredo, TX: Laredo International (LRD)",LRD
"Las Vegas, NV: Harry Reid International (LAS)",LAS
"Las Vegas, NV: McCarran International (LAS)",LAS
"Latrobe, PA: Arnold Palmer Regional (LBE)",LBE
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional (LAW)",LAW
"Lewisburg, WV: Greenbrier Valley (LWB)",LWB
"Lewiston, ID: Lewiston Nez Perce County (LWS)",LWS
"Lexington, KY: Blue Grass (LEX)",LEX
"Liberal, KS: Liberal Mid-America Regional (LBL)",LBL
"Lihue, HI: Lihue Airport (LIH)",LIH
"Lincoln, NE: Lincoln Airport (LNK)",LNK
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field (LIT)",LIT
"Long Beach, CA: Long Beach Airport (LGB)",LGB
"Longview, TX: East Texas Regional (GGG)",GGG
"Los Angeles, CA: Los Angeles International (LAX)",LAX
"Louisville, KY: Louisville Muhammad Ali International (SDF)",SDF
"Lubbock, TX: Lubbock Preston Smith International (LBB)",LBB
"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field (LYH)",LYH
"Macon, GA: Middle Georgia Regional (MCN)",MCN
"Madison, WI: Dane County Regional-Truax Field (MSN)",MSN
"Mammoth Lakes, CA: Mammoth Lakes Airport (MMH)",MMH
"Manchester, NH: Manchester Boston Regional (MHT)",MHT
"Manchester, NH: Manchester-Boston Regional (MHT)",MHT
"Manhattan/Ft. Riley, KS: Manhattan Regional (MHK)",MHK
"Marathon, FL: The Florida Keys Marathon International (MTH)",MTH
"Marquette, MI: Sawyer International (MQT)",MQT
"Martha 's Vineyard, MA: Martha 's Vineyard Airport (MVY)",MVY
"Mason City, IA: Mason City Municipal (MCW)",MCW
"Mayaguez, PR: Eugenio Maria de Hostos (MAZ)",MAZ
"Medford, OR: Rogue Valley International - Medford (MFR)",MFR
"Melbourne, FL: Melbourne International (MLB)",MLB
"Melbourne, FL: Melbourne Orlando International (MLB)",MLB
"Memphis, TN: Memphis International (MEM)",MEM
"Meridian, MS: Key Field (MEI)",MEI
"Miami, FL: Miami International (MIA)",MIA
"Midland/Odessa, TX: Midland International Air and Space Port (MAF)",MAF
"Milwaukee, WI: General Mitchell International (MKE)",MKE
"Minneapolis, MN: Minneapolis-St Paul International (MSP)",MSP
"Minot, ND: Minot AFB (MIB)",MIB
"Minot, ND: Minot International (MOT)",MOT
"Mission/McAllen/Edinburg, TX: McAllen Miller International (MFE)",MFE
"Missoula, MT: Missoula International (MSO)",MSO
"Missoula, MT: Missoula Montana (MSO)",MSO
"Moab, UT: Canyonlands Field (CNY)",CNY
"Moab, UT: Canyonlands Regional (CNY)",CNY
"Mobile, AL: Mobile Downtown (BFM)",BFM
"Mobile, AL: Mobile International (BFM)",BFM
"Mobile, AL: Mobile Regional (MOB)",MOB
"Modesto, CA: Modesto City-County-Harry Sham Field (MOD)",MOD
"Moline, IL: Quad Cities International (MLI)",MLI
"Moline, IL: Quad City International (MLI)",MLI
"Monroe, LA: Monroe Regional (MLU)",MLU
"Monterey, CA: Monterey Regional (MRY)",MRY
"Montgomery, AL: Montgomery Regional (MGM)",MGM
"Montrose/Delta, CO: Montrose Regional (MTJ)",MTJ
"Moses Lake, WA: Grant County International (MWH)",MWH
"Mosinee, WI: Central Wisconsin (CWA)",CWA
"Muskegon, MI: Muskegon County (MKG)",MKG
"Myrtle Beach, SC: Myrtle Beach International (MYR)",MYR
"Nantucket, MA: Nantucket Memorial (ACK)",ACK
"Naples, FL: Naples Municipal (APF)",APF
"Nashville, TN: Nashville International (BNA)",BNA
"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional (EWN)",EWN
"New Haven, CT: Tweed New Haven (HVN)",HVN
"New Orleans, LA: Louis Armstrong New Orleans International (MSY)",MSY
"New York, NY: John F. Kennedy International (JFK)",JFK
"New York, NY: LaGuardia (LGA)",LGA
"Newark, NJ: Newark Liberty International (EWR)",EWR
"Newburgh/Poughkeepsie, NY: New York Stewart International (SWF)",SWF
"Newport News/Williamsburg, VA: Newport News/Williamsburg International (PHF)",PHF
"Niagara Falls, NY: Niagara Falls International (IAG)",IAG
"Nome, AK: Nome Airport (OME)",OME
"Norfolk, VA: Norfolk International (ORF)",ORF
"North Bend/Coos Bay, OR: Southwest Oregon Regional (OTH)",OTH
"North Platte, NE: North Platte Regional Airport Lee Bird Field (LBF)",LBF
"Oakland, CA: Metro Oakland International (OAK)",OAK
"Oakland, CA: Metropolitan Oakland International (OAK)",OAK
"Ogden, UT: Ogden-Hinckley (OGD)",OGD
"Ogdensburg, NY: Ogdensburg International (OGS)",OGS
"Oklahoma City, OK: Will Rogers World (OKC)",OKC
"Omaha, NE: Eppley Airfield (OMA)",OMA
"Ontario, CA: Ontario International (ONT)",ONT
"Orlando, FL: Orlando International (MCO)",MCO
"Owensboro, KY: Owensboro Daviess County Regional (OWB)",OWB
"Oxnard/Ventura, CA: Oxnard (OXR)",OXR
"Paducah, KY: Barkley Regional (PAH)",PAH
"Pago Pago, TT: Pago Pago International (PPG)",PPG
"Palm Springs, CA: Palm Springs International (PSP)",PSP
"Palmdale, CA: Palmdale USAF Plant 42 (PMD)",PMD
"Panama City, FL: Bay County (PFN)",PFN
"Panama City, FL: Northwest Florida Beaches International (ECP)",ECP
"Pasco/Kennewick/Richland, WA: Tri Cities (PSC)",PSC
"Pellston, MI: Pellston Regional Airport of Emmet County (PLN)",PLN
"Pensacola, FL: Pensacola International (PNS)",PNS
"Peoria, IL: General Downing - Peoria International (PIA)",PIA
"Petersburg, AK: Petersburg James A Johnson (PSG)",PSG
"Philadelphia, PA: Philadelphia International (PHL)",PHL
"Phoenix, AZ: Phoenix - Mesa Gateway (AZA)",AZA
"Phoenix, AZ: Phoenix Sky Harbor International (PHX)",PHX
"Pierre, SD: Pierre Regional (PIR)",PIR
"Pinehurst/Southern Pines, NC: Moore County (SOP)",SOP
"Pittsburgh, PA: Pittsburgh International (PIT)",PIT
"Plattsburgh, NY: Plattsburgh International (PBG)",PBG
"Pocatello, ID: Pocatello Regional (PIH)",PIH
"Ponce, PR: Mercedita (PSE)",PSE
"Portland, ME: Portland International Jetport (PWM)",PWM
"Portland, OR: Portland International (PDX)",PDX
"Portsmouth, NH: Portsmouth International at Pease (PSM)",PSM
"Prescott, AZ: Prescott Regional Ernest A Love Field (PRC)",PRC
"Providence, RI: Rhode Island Tf Green International (PVD)",PVD
"Providence, RI: Theodore Francis Green State (PVD)",PVD
"Provo, UT: Provo Municipal (PVU)",PVU
"Pueblo, CO: Pueblo Memorial (PUB)",PUB
"Pullman, WA: Pullman Moscow Regional (PUW)",PUW
"Punta Gorda, FL: Punta Gorda Airport (PGD)",PGD
"Quincy, IL: Quincy Regional-Baldwin Field (UIN)",UIN
"Raleigh/Durham, NC: Raleigh-Durham International (RDU)",RDU
"Rapid City, SD: Ellsworth AFB (RCA)",RCA
"Rapid City, SD: Rapid City Regional (RAP)",RAP
"Red River, ND: Grand Forks AFB (RDR)",RDR
"Redding, CA: Redding Municipal (RDD)",RDD
"Reno, NV: Reno/Tahoe International (RNO)",RNO
"Rhinelander, WI: Rhinelander/Oneida County (RHI)",RHI
"Richmond, VA: Richmond International (RIC)",RIC
"Riverton/Lander, WY: Central Wyoming Regional (RIW)",RIW
"Riverton/Lander, WY: Riverton Regional (RIW)",RIW
"Roanoke, VA: Roanoke Blacksburg Regional (ROA)",ROA
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field (ROA)",ROA
"Rochester, MN: Rochester International (RST)",RST
"Rochester, NY: Frederick Douglass Grtr Rochester International (ROC)",ROC
"Rochester, NY: Greater Rochester International (ROC)",ROC
"Rock Springs, WY: Southwest Wyoming Regional (RKS)",RKS
"Rockford, IL: Chicago/Rockford International (RFD)",RFD
"Roswell, NM: Roswell Air Center (ROW)",ROW
"Roswell, NM: Roswell International Air Center (ROW)",ROW
"Rota, TT: Benjamin Taisacan Manglona International (ROP)",ROP
"Sacramento, CA: Sacramento International (SMF)",SMF
"Saginaw/Bay City/Midland, MI: MBS International (MBS)",MBS
"Saipan, TT: Francisco C. Ada Saipan International (SPN)",SPN
"Salem, OR: McNary Field (SLE)",SLE
"Salina, KS: Salina Regional (SLN)",SLN
"Salt Lake City, UT: Salt Lake City International (SLC)",SLC
"San Angelo, TX: San Angelo Regional/Mathis Field (SJT)",SJT
"San Antonio, TX: San Antonio International (SAT)",SAT
"San Diego, CA: San Diego International (SAN)",SAN
"San Francisco, CA: San Francisco International (SFO)",SFO
"San Jose, CA: Norman Y. Mineta San Jose International (SJC)",SJC
"San Juan, PR: Luis Munoz Marin International (SJU)",SJU
"San Luis Obispo, CA: San Luis County Regional (SBP)",SBP
"Sanford, FL: Orlando Sanford International (SFB)",SFB
"Santa Ana, CA: John Wayne Airport-Orange County (SNA)",SNA
"Santa Barbara, CA: Santa Barbara Municipal (SBA)",SBA
"Santa Fe, NM: Santa Fe Municipal (SAF)",SAF
"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field (SMX)",SMX
"Santa Rosa, CA: Charles M. Schulz - Sonoma County (STS)",STS
"Sarasota/Bradenton, FL: Sarasota/Bradenton International (SRQ)",SRQ
"Sault Ste. Marie, MI: Chippewa County International (CIU)",CIU
"Savannah, GA: Savannah/Hilton Head International (SAV)",SAV
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field (BFF)",BFF
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International (AVP)",AVP
"Seattle, WA: Boeing Field/King County International (BFI)",BFI
"Seattle, WA: Seattle/Tacoma International (SEA)",SEA
"Sheridan, WY: Sheridan County (SHR)",SHR
"Shreveport, LA: Shreveport Regional (SHV)",SHV
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field (SUX)",SUX
"Sioux Falls, SD: Joe Foss Field (FSD)",FSD
"Sitka, AK: Sitka Rocky Gutierrez (SIT)",SIT
"South Bend, IN: South Bend International (SBN)",SBN
"Spokane, WA: Fairchild AFB (SKA)",SKA
"Spokane, WA: Spokane International (GEG)",GEG
"Springfield, IL: Abraham Lincoln Capital (SPI)",SPI
"Springfield, MO: Springfield-Branson National (SGF)",SGF
"St. Augustine, FL: Northeast Florida Regional (UST)",UST
"St. Cloud, MN: St. Cloud Regional (STC)",STC
"St. George, UT: St George Regional (SGU)",SGU
"St. Louis, MO: St Louis Lambert International (STL)",STL
"St. Mary 's, AK: St. Mary 's Airport (KSM)",KSM
"St. Petersburg, FL: St Pete Clearwater International (PIE)",PIE
"State College, PA: University Park (SCE)",SCE
"Staunton, VA: Shenandoah Valley Regional (SHD)",SHD
"Stillwater, OK: Stillwater Regional (SWO)",SWO
"Stockton, CA: Stockton Metro (SCK)",SCK
"Stockton, CA: Stockton Metropolitan (SCK)",SCK
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial (SUN)",SUN
"Syracuse, NY: Syracuse Hancock International (SYR)",SYR
"Tallahassee, FL: Tallahassee International (TLH)",TLH
"Tampa, FL: Tampa International (TPA)",TPA
"Telluride, CO: Telluride Regional (TEX)",TEX
"Texarkana, AR: Texarkana Regional-Webb Field (TXK)",TXK
"Tokeen, AK: Tokeen Airport (TKI)",TKI
"Toledo, OH: Eugene F Kranz Toledo Express (TOL)",TOL
"Toledo, OH: Toledo Express (TOL)",TOL
"Topeka, KS: Topeka Regional (FOE)",FOE
"Traverse City, MI: Cherry Capital (TVC)",TVC
"Trenton, NJ: Trenton Mercer (TTN)",TTN
"Tucson, AZ: Tucson International (TUS)",TUS
"Tulsa, OK: Tulsa International (TUL)",TUL
"Tunica, MS: Tunica Municipal (UTM)",UTM
"Tupelo, MS: Tupelo Regional (TUP)",TUP
"Twin Falls, ID: Joslin Field - Magic Valley Regional (TWF)",TWF
"Tyler, TX: Tyler Pounds Regional (TYR)",TYR
"Unalaska, AK: Unalaska Airport (DUT)",DUT
"Utica/Rome, NY: Oneida County (UCA)",UCA
"Valdosta, GA: Valdosta Regional (VLD)",VLD
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach (VPS)",VPS
"Vernal, UT: Vernal Regional (VEL)",VEL
"Victoria, TX: Victoria Regional (VCT)",VCT
"Visalia, CA: Visalia Municipal (VIS)",VIS
"Waco, TX: Waco Regional (ACT)",ACT
"Walla Walla, WA: Walla Walla Regional (ALW)",ALW
"Washington, DC: Ronald Reagan Washington National (DCA)",DCA
"Washington, DC: Washington Dulles International (IAD)",IAD
"Waterloo, IA: Waterloo Regional (ALO)",ALO
"Watertown, NY: Watertown International (ART)",ART
"Watertown, SD: Watertown Regional (ATY)",ATY
"Wenatchee, WA: Pangborn Memorial (EAT)",EAT
"Wendover, UT: Wendover Airport (ENV)",ENV
"West Palm Beach/Palm Beach, FL: Palm Beach International (PBI)",PBI
"West Yellowstone, MT: Yellowstone (WYS)",WYS
"White Plains, NY: Westchester County (HPN)",HPN
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal (SPS)",SPS
