,CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,date
9,JetBlue Airways,0.0,7.0,0.0,0.0,0.0,7.0,7.0,612.0,9824474.0,369730.0,2018,Q3 2018,7.0,0.0,0.0063,9.999999999999999e-05,0.006200000000000001,2018-07-01
10,Mesa Airlines,0.0,5.0,0.0,46.0,0.0,51.0,51.0,2581.0,3604845.0,0.0,2018,Q3 2018,5.0,46.0,0.073,0.0014,0.0716,2018-07-01
11,PSA Airlines,0.0,24.0,0.0,18.0,0.0,42.0,42.0,2006.0,3404018.0,0.0,2018,Q3 2018,24.0,18.0,0.0602,0.0012000000000000001,0.0589,2018-07-01
12,Republic Airline,0.0,29.0,0.0,2.0,0.0,31.0,31.0,4954.0,4619387.0,0.0,2018,Q3 2018,29.0,2.0,0.10790000000000001,0.0007,0.1072,2018-07-01
13,SkyWest Airlines,0.0,70.0,0.0,22.0,3.0,95.0,92.0,7264.0,9676146.0,0.0,2018,Q3 2018,70.0,25.0,0.0761,0.001,0.0751,2018-07-01
14,Southwest Airlines,273.0,694.0,0.0,0.0,0.0,967.0,967.0,6570.0,40839016.0,0.0,2018,Q3 2018,967.0,0.0,0.0185,0.0024000000000000002,0.0161,2018-07-01
15,Spirit Airlines,3.0,160.0,1.0,0.0,0.0,164.0,163.0,5718.0,7328762.0,0.0,2018,Q3 2018,163.0,1.0,0.0803,0.0022,0.078,2018-07-01
16,United Air Lines,0.0,15.0,0.0,8.0,3.0,26.0,22.0,11339.0,27080182.0,0.0,2018,Q3 2018,15.0,11.0,0.042,9.999999999999999e-05,0.0419,2018-07-01
0,Alaska Airlines Codeshare,0.0,56.0,0.0,42.0,7.0,105.0,56.0,2226.0,8260367.0,0.0,2018,Q4 2018,56.0,49.0,0.028200000000000003,0.0013,0.026899999999999997,2018-10-01
1,Allegiant Airlines,0.0,0.0,0.0,1.0,65.0,66.0,0.0,46.0,3263797.0,0.0,2018,Q4 2018,0.0,66.0,0.0034,0.002,0.0014,2018-10-01
